insee;commune;date;UV_J0;UV_J1;UV_J2;UV_J3
01422;TOSSIAT;2024-01-18;1;1;1;;
01423;TOUSSIEUX;2024-01-18;1;1;1;;
01424;TRAMOYES;2024-01-18;1;1;1;;
01425;LA_TRANCLIERE;2024-01-18;1;1;1;;
01426;TREFFORT-CUISIAT;2024-01-18;1;1;1;;
01427;TREVOUX;2024-01-18;1;1;1;;
01428;VALEINS;2024-01-18;1;1;1;;
01429;VANDEINS;2024-01-18;1;1;1;;
01430;VARAMBON;2024-01-18;1;1;1;;
01431;VAUX-EN-BUGEY;2024-01-18;1;1;1;;
01432;VERJON;2024-01-18;1;1;1;;
01433;VERNOUX;2024-01-18;1;1;1;;
01434;VERSAILLEUX;2024-01-18;1;1;1;;
01435;VERSONNEX;2024-01-18;0;1;1;;
01436;VESANCY;2024-01-18;0;1;1;;
01437;VESCOURS;2024-01-18;1;1;1;;
01439;VESINES;2024-01-18;1;1;1;;
01441;VIEU-DIZENAVE;2024-01-18;0;1;1;;
01442;VIEU;2024-01-18;0;1;1;;
01443;VILLARS-LES-DOMBES;2024-01-18;1;1;1;;
01444;VILLEBOIS;2024-01-18;1;1;1;;
01445;VILLEMOTIER;2024-01-18;1;1;1;;
01446;VILLENEUVE;2024-01-18;1;1;1;;
01447;VILLEREVERSURE;2024-01-18;1;1;1;;
01448;VILLES;2024-01-18;0;1;1;;
01449;VILLETTE-SUR-AIN;2024-01-18;1;1;1;;
01450;VILLIEU-LOYES-MOLLON;2024-01-18;1;1;1;;
01451;VIRIAT;2024-01-18;1;1;1;;
01452;VIRIEU-LE-GRAND;2024-01-18;0;1;1;;
01453;VIRIEU-LE-PETIT;2024-01-18;0;1;1;;
01454;VIRIGNIN;2024-01-18;0;1;1;;
01456;VONGNES;2024-01-18;0;1;1;;
01457;VONNAS;2024-01-18;1;1;1;;
02001;ABBECOURT;2024-01-18;1;1;1;;
02002;ACHERY;2024-01-18;1;1;1;;
02003;ACY;2024-01-18;1;1;1;;
02004;AGNICOURT-ET-SECHELLES;2024-01-18;1;1;1;;
02005;AGUILCOURT;2024-01-18;1;1;1;;
02006;AISONVILLE-ET-BERNOVILLE;2024-01-18;1;1;1;;
02007;AIZELLES;2024-01-18;1;1;1;;
02008;AIZY-JOUY;2024-01-18;1;1;1;;
02009;ALAINCOURT;2024-01-18;1;1;1;;
02010;ALLEMANT;2024-01-18;1;1;1;;
02011;AMBLENY;2024-01-18;1;1;1;;
02012;AMBRIEF;2024-01-18;1;1;1;;
02013;AMIFONTAINE;2024-01-18;1;1;1;;
02014;AMIGNY-ROUY;2024-01-18;1;1;1;;
02015;ANCIENVILLE;2024-01-18;1;1;1;;
02016;ANDELAIN;2024-01-18;1;1;1;;
02017;ANGUILCOURT-LE-SART;2024-01-18;1;1;1;;
02018;ANIZY-LE-CHATEAU;2024-01-18;1;1;1;;
02019;ANNOIS;2024-01-18;1;1;1;;
02020;ANY-MARTIN-RIEUX;2024-01-18;1;1;1;;
02021;ARCHON;2024-01-18;1;1;1;;
02022;ARCY-SAINTE-RESTITUE;2024-01-18;1;1;1;;
02023;ARMENTIERES-SUR-OURCQ;2024-01-18;1;1;1;;
02024;ARRANCY;2024-01-18;1;1;1;;
02025;ARTEMPS;2024-01-18;1;1;1;;
02026;ARTONGES;2024-01-18;1;1;1;;
02027;ASSIS-SUR-SERRE;2024-01-18;1;1;1;;
02028;ATHIES-SOUS-LAON;2024-01-18;1;1;1;;
02029;ATTILLY;2024-01-18;1;1;1;;
02030;AUBENCHEUL-AUX-BOIS;2024-01-18;1;1;1;;
02031;AUBENTON;2024-01-18;1;1;1;;
02032;AUBIGNY-AUX-KAISNES;2024-01-18;1;1;1;;
02033;AUBIGNY-EN-LAONNOIS;2024-01-18;1;1;1;;
02034;AUDIGNICOURT;2024-01-18;1;1;1;;
02035;AUDIGNY;2024-01-18;1;1;1;;
02036;AUGY;2024-01-18;1;1;1;;
02037;AULNOIS-SOUS-LAON;2024-01-18;1;1;1;;
02038;LES_AUTELS;2024-01-18;1;1;1;;
02039;AUTREMENCOURT;2024-01-18;1;1;1;;
02040;AUTREPPES;2024-01-18;1;1;1;;
02041;AUTREVILLE;2024-01-18;1;1;1;;
02042;AZY-SUR-MARNE;2024-01-18;1;1;1;;
02043;BAGNEUX;2024-01-18;1;1;1;;
02044;BANCIGNY;2024-01-18;1;1;1;;
02046;BARENTON-BUGNY;2024-01-18;1;1;1;;
02047;BARENTON-CEL;2024-01-18;1;1;1;;
02048;BARENTON-SUR-SERRE;2024-01-18;1;1;1;;
02049;BARISIS;2024-01-18;1;1;1;;
02050;BARZY-EN-THIERACHE;2024-01-18;1;1;1;;
02051;BARZY-SUR-MARNE;2024-01-18;1;1;1;;
02052;BASSOLES-AULERS;2024-01-18;1;1;1;;
02053;BAULNE-EN-BRIE;2024-01-18;1;1;1;;
02054;BAZOCHES-SUR-VESLES;2024-01-18;1;1;1;;
02055;BEAUME;2024-01-18;1;1;1;;
02056;BEAUMONT-EN-BEINE;2024-01-18;1;1;1;;
02057;BEAUREVOIR;2024-01-18;1;1;1;;
02058;BEAURIEUX;2024-01-18;1;1;1;;
02059;BEAUTOR;2024-01-18;1;1;1;;
02060;BEAUVOIS-EN-VERMANDOIS;2024-01-18;1;1;1;;
02061;BECQUIGNY;2024-01-18;1;1;1;;
02062;BELLEAU;2024-01-18;1;1;1;;
02063;BELLENGLISE;2024-01-18;1;1;1;;
02064;BELLEU;2024-01-18;1;1;1;;
02065;BELLICOURT;2024-01-18;1;1;1;;
02066;BENAY;2024-01-18;1;1;1;;
02067;BERGUES-SUR-SAMBRE;2024-01-18;1;1;1;;
